"last_name, first_name","player_id","year","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","exit_velocity_avg","launch_angle_avg","barrel_batted_rate","z_swing_percent","oz_swing_percent","oz_contact_percent","iz_contact_percent","whiff_percent",""
"Arenado, Nolan","571448","2019",".270",".480",".392",".343",".341",".210",".431",".368",".368",".318","89.4","17.7",8,73.1,34.8,64.8,88,20.9,
"Muncy, Max","571970","2019",".261",".510",".372",".380",".384",".249",".444",".458",".357",".375","89.8","14.5",12,62.9,19.7,53.6,76.7,28.9,
"Voit III, Luke","572228","2019",".246",".495",".360",".365",".364",".249",".447",".457",".392",".368","89.7","12.7",13.2,77,22.5,37.1,74.4,35.1,
"Walker, Christian","572233","2019",".262",".516",".346",".364",".351",".254",".426",".456",".365",".370","91.1","14.8",13.1,74.9,24,51.3,78,28.8,
"Iglesias, Jose","578428","2019",".264",".360",".306",".284",".298",".096",".337",".312",".333",".309","84.1","7.1",2.3,67.1,45.9,77.2,90,15.3,
"Bryant, Kris","592178","2019",".247",".463",".379",".349",".353",".215",".448",".401",".383",".337","87.6","19.2",9.3,73.7,27.4,54.6,79.1,28.4,
"Castellanos, Nick","592206","2019",".279",".541",".357",".364",".329",".262",".433",".443",".375",".364","89","14",10.9,74.7,38.6,52.7,86,26.9,
"Machado, Manny","592518","2019",".261",".463",".335",".343",".340",".202",".375",".387",".325",".333","91.2","13",8,69,28.6,57.3,85.1,24.2,
"Moran, Colin","592567","2019",".260",".437",".315",".314",".308",".177",".389",".388",".365",".346","88.2","12.5",7.4,75.5,35.8,60.2,83.9,24.7,
"Pederson, Joc","592626","2019",".249",".479",".362",".347",".339",".230",".421",".399",".328",".330","91.2","15.6",10.3,68.4,26.6,60,82.1,24.1,
"Realmuto, J.T.","592663","2019",".273",".469",".340",".341",".332",".196",".402",".404",".350",".356","90.3","14.4",8.7,70.6,32.6,61.9,83.4,23.8,
"Rosario, Eddie","592696","2019",".260",".494",".329",".327",".289",".234",".372",".371",".322",".308","89.2","16.8",8.5,80.9,43.3,70.4,84.1,21.2,
"Yelich, Christian","592885","2019",".310",".624",".442",".426",".415",".314",".532",".509",".430",".409","93.3","11.3",15.8,69.8,27.9,50.3,83.9,28.2,
"Merrifield, Whit","593160","2019",".280",".431",".340",".324",".328",".151",".388",".367",".369",".343","87","15.6",4.3,68.2,30.9,66.1,85.6,20,
"Bogaerts, Xander","593428","2019",".272",".474",".390",".355",".354",".202",".439",".391",".382",".339","90.7","13.4",8.4,56.1,27.4,66.1,86.2,20.9,
"Alberto, Hanser","593643","2019",".279",".392",".318",".300",".305",".113",".337",".316",".335",".308","84.4","11.9",2.9,74.5,45.3,75.3,90.5,14.4,
"Polanco, Jorge","593871","2019",".271",".464",".352",".341",".338",".193",".390",".376",".356",".332","88","19.1",6.7,65.9,26.7,68.1,88.7,17.3,
"Calhoun, Kole","594777","2019",".241",".471",".330",".339",".335",".229",".401",".417",".327",".342","89.5","14.9",11.2,73.6,25.9,43,77.5,32.1,
"Eaton, Adam","594809","2019",".256",".406",".342",".328",".346",".149",".360",".342",".341",".315","88.9","15.3",3.8,63.8,27.4,65.6,86.2,17.2,
"Profar, Jurickson","595777","2019",".250",".431",".301",".328",".332",".180",".305",".341",".258",".299","86.7","14",6.5,65.6,26.1,62.7,87.3,20.2,
"Baez, Javier","595879","2019",".264",".506",".347",".336",".301",".241",".468",".453",".395",".374","91.1","7.7",12.7,73.5,42.6,50.4,75,35.5,
"Lindor, Francisco","596019","2019",".273",".464",".349",".333",".328",".190",".390",".370",".336",".326","91","12.3",7.5,72.3,32.1,68.8,89.5,17,
"Odor, Rougned","596059","2019",".221",".464",".302",".321",".299",".243",".395",".429",".310",".338","91.1","17.9",13.6,67.6,30,51.1,79,29.1,
"Story, Trevor","596115","2019",".260",".464",".380",".341",".334",".204",".490",".428",".415",".369","91","17.5",8.6,70.4,28.5,54.1,82.3,26.4,
"Vogelbach, Daniel","596129","2019",".224",".440",".333",".345",".356",".215",".386",".407",".305",".332","88.8","17.1",10.5,50.9,19.6,60.5,78.8,26.9,
"Kepler, Max","596146","2019",".259",".458",".355",".343",".343",".199",".383",".367",".308",".318","89.7","18.2",8.9,74,27.6,57.3,89.2,20.1,
"Bradley Jr., Jackie","598265","2019",".225",".413",".314",".316",".319",".188",".383",".389",".326",".329","90.1","9.3",9.6,69.2,28.3,50.8,73.7,32.6,
"Nunez, Renato","600524","2019",".252",".471",".323",".335",".319",".218",".389",".406",".328",".341","89.9","19.9",10.7,68.2,34.4,56.1,82.9,27.4,
"Ahmed, Nick","605113","2019",".256",".422",".315",".321",".322",".166",".348",".357",".310",".318","87.8","7.6",6.6,72.4,27.9,60.4,85.6,21.3,
"Anderson, Brian","605119","2019",".253",".454",".342",".340",".337",".200",".396",".392",".345",".337","89.9","11.1",8.9,65.2,31.9,52.5,83.7,27.4,
"Bell, Josh","605137","2019",".285",".561",".378",".386",".376",".277",".436",".448",".351",".364","92.4","13.1",12.7,77.2,27.5,63,80.2,25.3,
"Betts, Mookie","605141","2019",".311",".577",".380",".411",".408",".267",".399",".442",".349",".372","91","19.3",10.3,59.8,18.8,65.7,92,14.5,
"Smith, Mallex","605480","2019",".202",".285",".278",".256",".279",".083",".324",".292",".314",".281","85.2","7.3",2.2,70.1,27,54,75.5,27.8,
"Arcia, Orlando","606115","2019",".222",".351",".269",".277",".287",".129",".302",".313",".281",".287","87.9","6.6",4.3,65.4,30.5,61.8,81.4,24.6,
"Marte, Ketel","606466","2019",".300",".525",".405",".375",".364",".224",".444",".406",".386",".353","90","11.5",9.3,70.8,28.6,68.5,88.3,17.6,
"Turner, Trea","607208","2019",".279",".455",".356",".339",".337",".176",".418",".394",".378",".356","90.4","9.9",6.8,67.4,29.2,54.6,87.2,23.4,
"Pillar, Kevin","607680","2019",".262",".411",".298",".300",".293",".149",".330",".333",".299",".306","86.4","14.1",4.9,73.6,46.9,71,90.3,17.7,
"Ramirez, Jose","608070","2019",".267",".461",".334",".342",".341",".193",".350",".360",".297",".316","89.2","19.8",6.3,64.4,23,71.4,90.9,14.5,
"Bregman, Alex","608324","2019",".263",".453",".418",".373",".402",".190",".419",".353",".342",".310","89.3","19.6",4.8,57.4,15.8,71.8,90,14.3,
"Seager, Corey","608369","2019",".257",".459",".340",".331",".322",".202",".385",".373",".337",".320","88.8","14.3",7.3,77.7,26.9,51.7,82.8,25.7,
"Reyes, Franmil","614177","2019",".259",".535",".338",".359",".323",".276",".444",".477",".357",".377","93.3","9.5",14.8,76.7,30.2,42.8,73.1,36.5,
"Swanson, Dansby","621020","2019",".271",".477",".317",".350",".346",".207",".369",".419",".332",".363","89.9","14.5",10.1,68.7,24.7,54.6,79.3,27.6,
"Newman, Kevin","621028","2019",".273",".374",".339",".303",".322",".101",".361",".317",".352",".313","85.3","8.5",2.1,70,33.8,73.9,91.9,13.8,
"Olson, Matt","621566","2019",".278",".578",".368",".388",".362",".300",".462",".495",".373",".392","92.7","19.4",14.5,67,24.9,66.7,73,28.1,
"Alonso, Pete","624413","2019",".257",".551",".384",".380",".358",".294",".487",".482",".372",".372","90.7","14.8",15.8,67.4,31.9,58.3,80.9,28,
"Conforto, Michael","624424","2019",".262",".507",".358",".371",".370",".245",".416",".437",".348",".360","89.2","15.9",11.9,70.8,25.1,59.4,78.7,27,
"Frazier, Adam","624428","2019",".275",".403",".320",".318",".334",".128",".335",".333",".321",".318","87.1","13.1",1.9,69.6,27.1,72.3,88.8,15.6,
"Puig, Yasiel","624577","2019",".256",".451",".330",".328",".319",".195",".390",".388",".347",".336","90","13.8",9.2,77.1,30.1,53.6,79.4,28.2,
"Soler, Jorge","624585","2019",".276",".596",".378",".396",".364",".320",".480",".509",".376",".394","92.6","15.5",16.9,68,24.2,39.8,79.2,32.5,
"Meadows, Austin","640457","2019",".282",".545",".380",".375",".356",".264",".461",".454",".386",".374","90.4","16.7",12.5,61,24.7,57.7,84.7,23.5,
"Anderson, Tim","641313","2019",".283",".450",".363",".321",".307",".168",".449",".393",".427",".361","88.3","8.7",5.1,75.4,43.6,56.9,87.5,24.5,
"Bellinger, Cody","641355","2019",".319",".635",".414",".430",".421",".316",".466",".488",".374",".396","91.1","17.9",12.7,68.8,23.8,67,79.7,23.5,
"Dozier, Hunter","641531","2019",".260",".468",".360",".338",".331",".208",".451",".418",".384",".358","91.1","16.7",10,64.7,26.8,43.3,86.8,27,
"Mancini III, Trey","641820","2019",".277",".503",".373",".362",".353",".226",".440",".424",".377",".362","90.3","7.8",10.3,67.3,32,61.3,79.7,26.9,
"McMahon, Ryan","641857","2019",".243",".429",".330",".325",".324",".186",".431",".423",".374",".366","91.9","8.8",9,74.7,26.5,52.4,73.3,32.4,
"Rosario, Amed","642708","2019",".283",".416",".318",".317",".320",".133",".374",".372",".358",".354","89.4","8.8",4.2,69.8,36,58.5,85.1,24.1,
"Adames, Willy","642715","2019",".250",".437",".313",".320",".313",".187",".391",".403",".356",".351","88.5","10.8",8.4,69.2,24.7,47.9,81.4,27.1,
"Benintendi, Andrew","643217","2019",".262",".456",".330",".339",".340",".193",".385",".400",".355",".351","89.1","17.3",8.1,77.2,29.7,65.1,78.6,25.2,
"McNeil, Jeff","643446","2019",".283",".465",".384",".350",".354",".181",".411",".367",".372",".332","89","13.8",4.8,84.1,38.1,67.7,85.8,19.9,
"Albies, Ozzie","645277","2019",".282",".482",".354",".346",".341",".199",".395",".385",".355",".341","88.9","15.6",6.6,80.7,34.5,63.2,83.8,22.9,
"Robles, Victor","645302","2019",".231",".368",".317",".294",".305",".137",".371",".337",".338",".307","83.3","16.7",4.8,71.1,30.1,54.2,84.4,23,
"Devers, Rafael","646240","2019",".298",".528",".377",".368",".351",".230",".435",".424",".379",".366","92.5","10.4",9,75.8,37.3,68.3,79.7,24,
"Jimenez, Eloy","650391","2019",".261",".515",".343",".347",".311",".254",".445",".450",".372",".366","91.2","9.3",12.8,71.3,33.7,51,77.4,32.8,
"Torres, Gleyber","650402","2019",".257",".492",".358",".340",".320",".234",".430",".404",".359",".335","89.1","17.7",10.1,75.7,31.3,54.9,80.1,28,
"Chapman, Matt","656305","2019",".251",".502",".354",".359",".345",".252",".408",".416",".330",".335","92.7","16.6",12.1,62.4,22.7,63.6,80.9,23.7,
"Hoskins, Rhys","656555","2019",".215",".417",".347",".337",".358",".201",".392",".375",".320",".309","89.7","24",9.7,58.2,22.1,61.9,83.1,23.2,
"Schwarber, Kyle","656941","2019",".264",".555",".357",".376",".354",".291",".442",".473",".348",".372","93.5","15.5",14.5,65.7,23.9,56.3,77.7,27.9,
"DeJong, Paul","657557","2019",".237",".446",".322",".331",".325",".209",".368",".383",".309",".319","87","18.3",8.6,69.4,28.1,54.3,84,24.2,
"Moncada, Yoan","660162","2019",".282",".518",".379",".358",".337",".236",".505",".472",".447",".401","93.1","12.3",12.2,67,29.2,46.6,79.1,31,
"Acuna Jr., Ronald","660670","2019",".279",".574",".369",".390",".365",".294",".467",".502",".399",".399","90.6","14.2",15,68.7,24,59.6,76.8,27.7,
"Fletcher, David","664058","2019",".292",".371",".318",".319",".352",".079",".319",".320",".325",".327","83.8","9.9",0.2,49,22.5,80.1,94.2,9.7,
"Guerrero Jr., Vladimir","665489","2019",".256",".435",".329",".329",".326",".179",".363",".363",".336",".319","89.4","6.7",7.7,69.2,29,59.1,84.1,24.5,
"Soto, Juan","665742","2019",".285",".575",".394",".409",".405",".290",".442",".465",".368",".374","92","12.5",12.3,66.7,20.3,55.1,84,24,
"Reynolds, Bryan","668804","2019",".293",".474",".371",".359",".361",".181",".446",".429",".413",".389","89.5","9.4",6.7,72.1,28.1,52,84.2,26.3,
