"last_name, first_name","player_id","year","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","exit_velocity_avg","launch_angle_avg","barrel_batted_rate","z_swing_percent","oz_swing_percent","oz_contact_percent","iz_contact_percent","whiff_percent",""
"Gonzalez, Marwin","503556","2017",".247",".408",".382",".320",".330",".161",".443",".355",".385",".318","88.7","11.7",6.6,61.7,26.6,64.9,86.7,20.2,
"Altuve, Jose","514888","2017",".291",".477",".405",".360",".363",".187",".435",".378",".400",".338","86.1","9.7",6.7,67.7,31.9,71.9,89.6,16.8,
"Hernandez, Cesar","514917","2017",".271",".396",".346",".331",".355",".125",".379",".360",".368",".342","85.7","4.5",2.9,61.5,20.4,57.9,83.9,20.6,
"Segura, Jean","516416","2017",".272",".402",".334",".315",".325",".130",".366",".343",".355",".324","87.6","6.7",3.2,66.6,31.9,73.4,88.6,15.8,
"Freeman, Freddie","518692","2017",".292",".595",".407",".406",".392",".302",".470",".469",".389",".373","89.7","16",13.3,82.1,29,62.5,80.2,24.9,
"LeMahieu, DJ","518934","2017",".304",".404",".342",".341",".370",".100",".357",".357",".361",".355","89.3","3.3",1.9,59,22.3,76.5,89.9,12.6,
"Moreland, Mitch","519048","2017",".271",".532",".326",".371",".351",".261",".371",".437",".318",".355","89.3","11.6",12,69.2,27.3,55.1,83.1,25.8,
"Moustakas, Mike","519058","2017",".268",".492",".345",".338",".314",".224",".392",".383",".323",".323","87.4","18.2",8.6,75.8,39,65.8,87,20.9,
"Rizzo, Anthony","519203","2017",".285",".522",".380",".395",".405",".237",".382",".403",".321",".339","88.4","15.5",9.3,67,27.9,68,87.6,18.2,
"Souza Jr., Steven","519306","2017",".238",".458",".348",".350",".352",".219",".439",".443",".362",".363","88.8","11.7",11.5,69.5,21.4,46.6,74.6,31.9,
"Stanton, Giancarlo","519317","2017",".277",".599",".410",".403",".373",".322",".512",".501",".384",".380","92","11.2",17.4,66.5,24.4,48.3,77.6,31.8,
"Thames, Eric","519346","2017",".228",".455",".369",".342",".343",".227",".483",".436",".379",".350","88.2","12.8",11.1,66.7,23.7,48.5,77.2,31.5,
"Galvis, Freddy","520471","2017",".242",".360",".298",".286",".298",".118",".326",".312",".309",".295","86.3","15.2",2.4,67.4,32,69.4,87.5,17.6,
"Garcia, Avisail","541645","2017",".296",".513",".375",".365",".349",".218",".448",".434",".419",".377","90.3","7.6",8.8,83.4,37.7,49.8,81.7,29.3,
"Inciarte, Ender","542255","2017",".264",".351",".328",".292",".315",".087",".352",".308",".351",".308","82.8","10.2",0.5,71.1,35.8,76,88.1,14.3,
"Ozuna, Marcell","542303","2017",".284",".520",".388",".369",".351",".236",".468",".440",".406",".370","90.9","10.2",9.3,72.8,30,56.1,81.5,26.9,
"Beckham, Tim","542921","2017",".261",".446",".334",".327",".313",".186",".446",".436",".403",".381","88.4","8.5",9.5,71.2,30.3,49.1,77,30.8,
